SQ_CANDIDATO,ANO_ELEICAO,SG_UF,SG_UE,NOME_MUNICIPIO,DS_CARGO,NR_CANDIDATO,NM_URNA_CANDIDATO,SG_PARTIDO,SG_PAST_PARTIDO,DT_NASCIMENTO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_ESTADO_CIVIL,DS_COR_RACA,DS_OCUPACAO,DS_SIT_TOT_TURNO,NM_CANDIDATO
150000819779,2020,PB,19577,BREJO DO CRUZ,PREFEITO,45,DR TALES,PSDB,PR,06/11/1987,33,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,MÉDICO,ELEITO,TALES TORRICELLI DE SOUSA COSTA E SILVA
150001186018,2020,PB,19070,ALAGOA NOVA,PREFEITO,50,IVON DA BARRA,PSOL,PSDB,28/05/1974,46,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,AGRICULTOR,NÃO ELEITO,IVANILDO JOSE PEQUENO
150000719904,2020,PB,21571,RIACHO DOS CAVALOS,PREFEITO,11,EUDIM DE DÉ,PP,PP,07/12/1976,44,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,OUTROS,ELEITO,FRANCISCO EUDES VIEIRA DE ARAUJO
150001201835,2020,PB,21059,NOVA OLINDA,PREFEITO,40,IVAN SOUSA,PSB,PSDB,25/02/1958,62,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,AGRICULTOR,NÃO ELEITO,IVAN LUIS DE SOUSA
150001109271,2020,PB,19674,CACHOEIRA DOS ÍNDIOS,PREFEITO,11,TÊTA,PP,PSB,25/11/1953,67,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,ODONTÓLOGO,#NULO#,ARLINDO FRANCISCO DE SOUSA
150000694786,2020,PB,22012,SÃO MIGUEL DE TAIPU,PREFEITO,45,LAELSON,PSDB,PMDB,24/10/1972,48,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,PROFESSOR DE ENSINO MÉDIO,ELEITO,LAELSON ALBUQUERQUE
150000922448,2020,PB,21474,PRINCESA ISABEL,PREFEITO,25,DR ALAN MOURA,DEM,PSB,15/03/1982,38,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,MÉDICO,NÃO ELEITO,JOSE ALAN DE SOUSA MOURA
150000865680,2020,PB,21253,PEDRAS DE FOGO,PREFEITO,77,DR JUNIOR,SOLIDARIEDADE,PSB,21/02/1964,56,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,MÉDICO,ELEITO,MANOEL ALVES DA SILVA JUNIOR
150000742886,2020,PB,19534,IGARACY,PREFEITO,14,LÍDIO CARNEIRO,PTB,PTB,06/09/1964,56,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,AGENTE ADMINISTRATIVO,ELEITO,JOSÉ CARNEIRO ALMEIDA DA SILVA
150001268928,2020,PB,21091,OLHO D'ÁGUA,PREFEITO,23,JOANA DE DR CHICO,CIDADANIA,PMDB,08/10/1969,51,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,ENFERMEIRO,ELEITO,JOANA SABINO DE ALMEIDA CARVALHO
150000910350,2020,PB,19216,AREIA,PREFEITO,45,JOÃO FRANCISCO,PSDB,PSDB,25/06/1961,59,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,ADMINISTRADOR,NÃO ELEITO,JOAO FRANCISCO BATISTA DE ALBUQUERQUE
150000643101,2020,PB,21717,SANTANA DE MANGUEIRA,PREFEITO,70,NERIVAL INÁCIO,AVANTE,PSDB,24/10/1973,47,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,ADMINISTRADOR,ELEITO,NERIVAL INÁCIO DE QUEIROZ
150001101209,2020,PB,19720,PARARI,PREFEITO,22,GENIVAL QUEIROZ,PL,PSB,20/08/1962,58,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,OUTROS,ELEITO,GENIVAL AIRES DE QUEIROZ FILHO
