SQ_CANDIDATO,ANO_ELEICAO,SG_UF,DS_CARGO,NR_CANDIDATO,NM_URNA_CANDIDATO,SG_PARTIDO,DT_NASCIMENTO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_ESTADO_CIVIL,DS_COR_RACA,DS_OCUPACAO,DS_SIT_TOT_TURNO,QT_VOTOS,VR_RECEITA,VR_BEM_CANDIDATO,VR_DESPESA_MAX_CAMPANHA
150000819779,2020,PB,PREFEITO,45,DR TALES,PSDB,06/11/1987,33,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,MÉDICO,ELEITO,,121000.0,521442.23,123077.42
150001186018,2020,PB,PREFEITO,50,IVON DA BARRA,PSOL,28/05/1974,46,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,AGRICULTOR,NÃO ELEITO,165.0,978.5899999999999,,123077.42
150000719904,2020,PB,PREFEITO,11,EUDIM DE DÉ,PP,07/12/1976,44,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,OUTROS,ELEITO,3927.0,82841.5,152000.0,625146.19
150001201835,2020,PB,PREFEITO,40,IVAN SOUSA,PSB,25/02/1958,62,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,AGRICULTOR,NÃO ELEITO,,,50000.0,123077.42
150001109271,2020,PB,PREFEITO,11,TÊTA,PP,25/11/1953,67,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,ODONTÓLOGO,#NULO#,,950.0,337044.55,123077.42
150000694786,2020,PB,PREFEITO,45,LAELSON,PSDB,24/10/1972,48,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,PROFESSOR DE ENSINO MÉDIO,ELEITO,2635.0,39700.0,,123077.42
150000922448,2020,PB,PREFEITO,25,DR ALAN MOURA,DEM,15/03/1982,38,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,MÉDICO,NÃO ELEITO,3091.0,102200.0,1610000.0,123077.42
150000865680,2020,PB,PREFEITO,77,DR JUNIOR,SOLIDARIEDADE,21/02/1964,56,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,MÉDICO,ELEITO,9789.0,258430.9,1755417.35,320066.19
150000742886,2020,PB,PREFEITO,14,LÍDIO CARNEIRO,PTB,06/09/1964,56,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,AGENTE ADMINISTRATIVO,ELEITO,2438.0,38900.0,440000.0,123077.42
150001268928,2020,PB,PREFEITO,23,JOANA DE DR CHICO,CIDADANIA,08/10/1969,51,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,ENFERMEIRO,ELEITO,2659.0,19679.5,228172.27,123077.42
